
192.186.132.130	USA, New York, Virtual UK (LOC1 S1)
192.186.132.138	USA, New York, Virtual UK (LOC1 S2)
192.230.39.1	Australia, Sydney - Virtual USA
162.219.179.50	Canada, Toronto - Virtual USA (LOC1 S1)
162.219.178.90	Canada, Toronto - Virtual USA (LOC1 S2)
62.73.3.155	France, Paris - Virtual USA (LOC1 S1)
62.73.3.156	France, Paris - Virtual USA (LOC1 S2)
159.8.66.52	France, Paris - Virtual USA (LOC2 S1)
173.239.198.2	Germany, Frankfurt - Virtual USA (LOC1 S1)
173.239.199.2	Germany, Frankfurt - Virtual USA (LOC1 S2)
37.46.115.4	Netherlands, Amsterdam - Virtual USA (LOC1 S1)
31.3.157.129	Netherlands, Amsterdam - Virtual USA (LOC1 S10)
37.46.115.130	Netherlands, Amsterdam - Virtual USA (LOC1 S2)
37.46.116.4	Netherlands, Amsterdam - Virtual USA (LOC1 S3)
37.46.116.130	Netherlands, Amsterdam - Virtual USA (LOC1 S4)
79.142.72.4	Netherlands, Amsterdam - Virtual USA (LOC1 S5)
79.142.72.127	Netherlands, Amsterdam - Virtual USA (LOC1 S6)
37.46.117.4	Netherlands, Amsterdam - Virtual USA (LOC1 S7)
37.46.117.130	Netherlands, Amsterdam - Virtual USA (LOC1 S8)
31.3.157.4	Netherlands, Amsterdam - Virtual USA (LOC1 S9)
119.81.38.206	Republic of Singapore, Virtual USA (LOC1 S1)
119.81.38.205	Republic of Singapore, Virtual USA (LOC1 S2)
154.70.152.190	South Africa, Virtual USA
192.230.37.2	South Korea, Virtual USA
77.74.195.164	UK, London, Virtual USA (LOC1 S1)
77.74.195.163	UK, London, Virtual USA (LOC1 S2)
77.74.195.165	UK, London, Virtual USA (LOC1 S3)
192.230.48.2	USA, Alabama, Montgomery (LOC1 S1)
192.230.48.130	USA, Alabama, Montgomery (LOC1 S2)
23.250.112.138	USA, Alaska, Anchorage (LOC1 S1)
192.240.233.2	USA, Alaska, Anchorage (LOC1 S2)
23.81.21.42	USA, Arizona, Phoenix (LOC1 S1)
23.81.21.58	USA, Arizona, Phoenix (LOC1 S2)
23.81.21.66	USA, Arizona, Phoenix (LOC1 S3)
23.81.178.114	USA, Arizona, Phoenix (LOC1 S4)
23.19.97.2	USA, Arizona, Phoenix (LOC1 S5)
108.62.115.202	USA, Arizona, Phoenix (LOC2 S1)
23.19.41.10	USA, Arizona, Phoenix (LOC2 S2)
23.19.43.98	USA, Arizona, Phoenix (LOC2 S3)
23.19.43.106	USA, Arizona, Phoenix (LOC2 S4)
23.226.69.194	USA, Arizona, Phoenix (LOC3 S1)
107.167.81.130	USA, Arizona, Phoenix (LOC3 S10)
23.226.77.66	USA, Arizona, Phoenix (LOC3 S2)
23.226.77.130	USA, Arizona, Phoenix (LOC3 S3)
23.226.79.194	USA, Arizona, Phoenix (LOC3 S4)
192.110.164.66	USA, Arizona, Phoenix (LOC3 S5)
107.167.70.2	USA, Arizona, Phoenix (LOC3 S6)
107.167.70.130	USA, Arizona, Phoenix (LOC3 S7)
107.167.80.130	USA, Arizona, Phoenix (LOC3 S8)
107.167.81.2	USA, Arizona, Phoenix (LOC3 S9)
155.94.171.131	USA, California, Los Angeles (LOC1 S1)
155.94.185.130	USA, California, Los Angeles (LOC1 S10)
155.94.187.2	USA, California, Los Angeles (LOC1 S11)
155.94.187.130	USA, California, Los Angeles (LOC1 S12)
155.94.188.3	USA, California, Los Angeles (LOC1 S13)
155.94.188.130	USA, California, Los Angeles (LOC1 S14)
155.94.189.130	USA, California, Los Angeles (LOC1 S15)
155.94.190.2	USA, California, Los Angeles (LOC1 S16)
155.94.190.131	USA, California, Los Angeles (LOC1 S17)
155.94.225.2	USA, California, Los Angeles (LOC1 S18)
155.94.225.130	USA, California, Los Angeles (LOC1 S19)
155.94.174.130	USA, California, Los Angeles (LOC1 S2)
155.94.226.2	USA, California, Los Angeles (LOC1 S20)
155.94.226.131	USA, California, Los Angeles (LOC1 S21)
155.94.227.2	USA, California, Los Angeles (LOC1 S22)
155.94.227.130	USA, California, Los Angeles (LOC1 S23)
155.94.229.2	USA, California, Los Angeles (LOC1 S24)
155.94.175.2	USA, California, Los Angeles (LOC1 S3)
155.94.175.130	USA, California, Los Angeles (LOC1 S4)
155.94.182.3	USA, California, Los Angeles (LOC1 S5)
155.94.182.130	USA, California, Los Angeles (LOC1 S6)
155.94.183.2	USA, California, Los Angeles (LOC1 S7)
155.94.183.130	USA, California, Los Angeles (LOC1 S8)
155.94.185.3	USA, California, Los Angeles (LOC1 S9)
198.203.29.130	USA, California, Los Angeles (LOC2 S1)
198.203.29.2	USA, California, Los Angeles (LOC2 S2)
199.244.112.2	USA, California, Los Angeles (LOC2 S3)
199.241.146.2	USA, California, Los Angeles (LOC2 S4)
192.173.146.2	USA, California, Los Angeles (LOC2 S5)
107.160.167.2	USA, California, Los Angeles (LOC3 S1)
23.238.160.2	USA, California, Los Angeles (LOC3 S2)
23.238.198.130	USA, California, Los Angeles (LOC3 S3)
72.8.134.120	USA, California, Orange County (LOC1 S1)
72.8.129.155	USA, California, Orange County (LOC1 S2)
74.115.209.4	USA, California, San Diego (LOC1 S1)
198.241.44.212	USA, California, San Diego (LOC1 S2)
199.58.165.20	USA, California, San Diego (LOC1 S3)
199.58.165.22	USA, California, San Diego (LOC1 S4)
199.58.165.23	USA, California, San Diego (LOC1 S5)
199.58.165.24	USA, California, San Diego (LOC1 S6)
199.58.165.26	USA, California, San Diego (LOC1 S7)
162.211.178.2	USA, California, San Francisco (LOC1 S1)
162.211.178.130	USA, California, San Francisco (LOC1 S2)
162.211.179.2	USA, California, San Francisco (LOC1 S3)
162.211.179.130	USA, California, San Francisco (LOC1 S4)
199.101.94.2	USA, California, San Francisco (LOC1 S5)
198.23.76.51	USA, California, San Jose (LOC1 S1)
198.23.76.53	USA, California, San Jose (LOC1 S2)
198.23.76.54	USA, California, San Jose (LOC1 S3)
198.23.76.52	USA, California, San Jose (LOC1 S4)
198.23.76.50	USA, California, San Jose (LOC1 S5)
204.45.156.146	USA, Colorado, Denver (LOC1 S1)
76.73.47.66	USA, Colorado, Denver (LOC1 S2)
76.73.47.74	USA, Colorado, Denver (LOC1 S3)
69.94.24.19	USA, Connecticut, Trumbull (LOC1 S1)
69.94.24.20	USA, Connecticut, Trumbull (LOC1 S2)
198.203.28.130	USA, Florida, Jacksonville (LOC1 S1)
198.203.30.2	USA, Florida, Jacksonville (LOC1 S2)
198.203.30.130	USA, Florida, Jacksonville (LOC1 S3)
198.203.31.2	USA, Florida, Jacksonville (LOC1 S4)
198.203.31.130	USA, Florida, Jacksonville (LOC1 S5)
192.173.147.130	USA, Florida, Jacksonville (LOC1 S6)
192.173.147.2	USA, Florida, Jacksonville (LOC1 S7)
192.173.144.130	USA, Florida, Jacksonville (LOC1 S8)
173.244.32.7	USA, Florida, Miami (LOC1 S1)
173.244.32.16	USA, Florida, Miami (LOC1 S10)
173.244.32.17	USA, Florida, Miami (LOC1 S11)
173.244.32.18	USA, Florida, Miami (LOC1 S12)
173.244.32.8	USA, Florida, Miami (LOC1 S2)
173.244.32.9	USA, Florida, Miami (LOC1 S3)
173.244.32.10	USA, Florida, Miami (LOC1 S4)
173.244.32.11	USA, Florida, Miami (LOC1 S5)
173.244.32.12	USA, Florida, Miami (LOC1 S6)
173.244.32.13	USA, Florida, Miami (LOC1 S7)
173.244.32.14	USA, Florida, Miami (LOC1 S8)
173.244.32.15	USA, Florida, Miami (LOC1 S9)
64.251.25.99	USA, Florida, Miami (LOC2 S1)
64.251.27.139	USA, Florida, Miami (LOC2 S2)
198.136.62.2	USA, Florida, Orlando (LOC1 S1)
198.136.62.130	USA, Florida, Orlando (LOC1 S2)
198.136.55.2	USA, Florida, Orlando (LOC1 S3)
198.136.55.130	USA, Florida, Orlando (LOC1 S4)
